iter	Passed	Remaining
0	14	14729
1	27	13553
2	38	12807
3	52	12971
4	63	12707
5	74	12417
6	86	12255
7	97	12094
8	108	11998
9	118	11770
10	130	11726
11	141	11683
12	152	11607
13	164	11558
14	175	11525
15	185	11436
16	198	11504
17	214	11683
18	225	11660
19	236	11579
20	247	11533
21	258	11496
22	270	11477
23	281	11458
24	293	11441
25	305	11439
26	316	11392
27	326	11350
28	338	11327
29	349	11289
30	363	11354
31	374	11336
32	386	11315
33	401	11412
34	413	11393
35	424	11364
36	436	11362
37	446	11306
38	455	11230
39	465	11183
40	474	11098
41	481	10987
42	493	10976
43	502	10927
44	512	10880
45	521	10809
46	529	10737
47	538	10687
48	555	10772
49	564	10730
50	573	10674
51	583	10635
52	592	10594
53	606	10616
54	616	10589
55	625	10545
56	635	10513
57	644	10465
58	655	10450
59	664	10411
60	675	10405
61	684	10358
62	694	10333
63	703	10286
64	713	10262
65	723	10238
66	732	10198
67	742	10182
68	756	10207
69	767	10196
70	776	10161
71	788	10157
72	797	10121
73	806	10089
74	815	10052
75	829	10085
76	838	10052
77	850	10054
78	862	10054
79	871	10027
80	882	10013
81	893	9997
82	902	9975
83	913	9966
84	925	9963
85	936	9956
86	949	9959
87	960	9949
88	968	9916
89	978	9892
90	988	9877
91	999	9862
92	1009	9846
93	1019	9830
94	1029	9809
95	1039	9788
96	1049	9771
97	1060	9764
98	1070	9743
99	1081	9736
100	1093	9733
101	1107	9753
102	1117	9732
103	1127	9711
104	1137	9693
105	1148	9690
106	1159	9677
107	1169	9662
108	1179	9639
109	1189	9620
110	1200	9613
111	1210	9595
112	1223	9600
113	1235	9599
114	1246	9592
115	1257	9582
116	1268	9575
117	1280	9570
118	1289	9549
119	1301	9547
120	1312	9535
121	1323	9523
122	1335	9519
123	1350	9543
124	1361	9530
125	1373	9526
126	1382	9500
127	1392	9487
128	1405	9486
129	1417	9485
130	1427	9467
131	1438	9462
132	1454	9478
133	1466	9475
134	1478	9470
135	1489	9463
136	1501	9461
137	1513	9450
138	1524	9440
139	1532	9416
140	1544	9410
141	1554	9390
142	1564	9376
143	1576	9368
144	1586	9353
145	1595	9335
146	1607	9325
147	1619	9323
148	1630	9310
149	1641	9299
150	1650	9282
151	1661	9269
152	1672	9258
153	1682	9241
154	1691	9222
155	1703	9214
156	1713	9198
157	1723	9182
158	1733	9170
159	1745	9163
160	1754	9142
161	1766	9139
162	1777	9126
163	1785	9103
164	1795	9088
165	1808	9083
166	1819	9076
167	1831	9067
168	1842	9058
169	1852	9044
170	1862	9028
171	1873	9019
172	1883	9002
173	1893	8989
174	1905	8983
175	1916	8970
176	1926	8957
177	1937	8949
178	1948	8937
179	1957	8919
180	1968	8909
181	1980	8902
182	1991	8892
183	2002	8880
184	2015	8877
185	2024	8858
186	2033	8840
187	2043	8827
188	2054	8815
189	2065	8804
190	2075	8791
191	2086	8782
192	2097	8769
193	2107	8757
194	2117	8743
195	2129	8735
196	2141	8727
197	2149	8707
198	2160	8694
199	2170	8680
200	2180	8666
201	2191	8658
202	2202	8648
203	2215	8643
204	2225	8632
205	2240	8636
206	2250	8621
207	2262	8613
208	2272	8600
209	2282	8586
210	2292	8573
211	2302	8557
212	2310	8538
213	2321	8524
214	2330	8510
215	2340	8495
216	2351	8484
217	2361	8470
218	2373	8463
219	2383	8448
220	2396	8448
221	2407	8438
222	2417	8424
223	2428	8411
224	2438	8397
225	2447	8381
226	2456	8365
227	2467	8356
228	2477	8342
229	2488	8330
230	2498	8318
231	2508	8304
232	2518	8289
233	2527	8273
234	2537	8260
235	2547	8245
236	2557	8232
237	2567	8219
238	2577	8207
239	2593	8211
240	2605	8205
241	2617	8197
242	2639	8222
243	2650	8213
244	2660	8199
245	2672	8192
246	2682	8177
247	2693	8167
248	2704	8156
249	2716	8149
250	2728	8142
251	2744	8145
252	2755	8136
253	2767	8127
254	2777	8114
255	2789	8107
256	2802	8102
257	2813	8090
258	2823	8077
259	2845	8098
260	2857	8089
261	2869	8083
262	2881	8074
263	2891	8061
264	2899	8043
265	2910	8032
266	2921	8021
267	2933	8012
268	2945	8005
